::1 - - [19/Dec/2024:15:19:22 +0000] "GET /uploads/image-1734360987613-950063243.png HTTP/1.1" 200 1789750 "-" "node"
::1 - - [19/Dec/2024:15:19:22 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:15:19:22 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:19:22 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:19:22 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:19:22 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:15:19:22 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:19:22 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:19:22 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:19:26 +0000] "GET /api/products?limit=12 HTTP/1.1" 200 3041 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:20:39 +0000] "GET /api/top-products HTTP/1.1" 200 2486 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:20:39 +0000] "GET /api/products?limit=10 HTTP/1.1" 200 2552 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:20:39 +0000] "GET /api/categories HTTP/1.1" 200 169 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
